certificado,nombre_comercial
43852,CLINDAMICINA KLONAL
41042,IBUPROFENO KLONAL
54603,AMOXICILINA LIF
54235,PARACETAMOL LIF
54912,PARACETAMOL SCHAFER
56786,ELIQUIS
59560,STAQUIS
52794,IBUBENITOL
52103,IBUXIM
40855,IBUPROFENO FECOFAR VL
41309,PENICILINA G BENZATINICA KLONAL
54117,ALPRAZOLAM KLONAL
49514,BEFOL
55836,OMEFORT
56435,CISTEFORT
33416,KEFORAL
45193,AMOXICILINA SANT GALL
38711,PARACETAMOL FECOFAR
40327,PARACETAMOL FORTBENTON
14547,BRONQUISEDAN ADULTOS
14546,BRONQUISEDAN NIÑOS
40850,BRONQUISEDAN MAX
19721,LOTOQUIS SIMPLE
8878,LOTOQUIS
